2025-10-01 16:11:19.527 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2025-10-01 21:07:05.499 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-10-01 21:07:05.516 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2025-10-01 21:07:05.530 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
2025-10-01 21:07:05.537 [restartedMain] INFO  c.leo.aiteacher.AiTeacherApplication - Started AiTeacherApplication in 2.592 seconds (process running for 3.619)
2025-10-01 21:07:10.698 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-10-01 21:07:10.699 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-01 21:07:10.699 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-10-01 21:07:10.807 [http-nio-8081-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-10-01 21:07:11.118 [http-nio-8081-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@71b60d38
2025-10-01 21:07:11.119 [http-nio-8081-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-10-01 21:12:06.218 [http-nio-8081-exec-2] INFO  c.l.a.controller.AiTeacherController - Received request data: {message=我是软件工程老师，出简单的填空题题目，共4题}
2025-10-01 21:12:06.219 [http-nio-8081-exec-2] INFO  c.l.a.controller.AiTeacherController - Auth Header: Bearer************************************
2025-10-01 21:12:06.228 [http-nio-8081-exec-2] INFO  c.l.a.controller.AiTeacherController - Calling DeepSeek API: https://api.deepseek.com/v1/chat/completions
2025-10-01 21:12:18.918 [http-nio-8081-exec-2] INFO  c.l.a.controller.AiTeacherController - API Response Status: 200 OK
2025-10-01 21:12:18.918 [http-nio-8081-exec-2] INFO  c.l.a.controller.AiTeacherController - API Response Body: {"id":"14afd5ab-ecd1-4e47-a20b-0af7a9787f93","object":"chat.completion","created":1759324326,"model":"deepseek-chat","choices":[{"index":0,"message":{"role":"assistant","content":"好的，老师！以下是4道简单的软件工程填空题，适用于考察学生的基础概念。\n\n---\n\n**软件工程基础概念填空**\n\n1.  软件工程是应用系统化、规范化、可量化的方法进行软件的________、________、________和________。\n2.  软件生命周期中，明确“做什么”的阶段是________，而明确“怎么做”的阶段是________。\n3.  在面向对象方法中，将数据和对数据的操作封装在一起，构成了________，它是构成程序的基本单元。\n4.  软件测试的两个基本目标是________（确保软件完成了它应该完成的功能）和________（确保软件不执行它不应该完成的操作）。\n\n---\n\n**参考答案：**\n\n1.  开发、运行、维护、管理\n    *(注：答案顺序可调整，常见表述还有：分析、设计、实现、测试)*\n2.  需求分析、系统设计/概要设计\n3.  类 (Class)\n4.  验证 (Verification)、确认 (Validation)\n    *(注：此空也常填为：证明软件存在错误、保证软件质量 或 发现错误、预防错误)*"},"logprobs":null,"finish_reason":"stop"}],"usage":{"prompt_tokens":17,"completion_tokens":229,"total_tokens":246,"prompt_tokens_details":{"cached_tokens":0},"prompt_cache_hit_tokens":0,"prompt_cache_miss_tokens":17},"system_fingerprint":"fp_ffc7281d48_prod0820_fp8_kvcache"}
2025-10-01 21:12:44.732 [http-nio-8081-exec-5] INFO  c.l.a.controller.AiTeacherController - Received request data: {message=我是软件工程老师，出简单的选择题题目，共3题}
2025-10-01 21:12:44.732 [http-nio-8081-exec-5] INFO  c.l.a.controller.AiTeacherController - Auth Header: Bearer************************************
2025-10-01 21:12:44.733 [http-nio-8081-exec-5] INFO  c.l.a.controller.AiTeacherController - Calling DeepSeek API: https://api.deepseek.com/v1/chat/completions
2025-10-01 21:13:05.444 [http-nio-8081-exec-5] INFO  c.l.a.controller.AiTeacherController - API Response Status: 200 OK
2025-10-01 21:13:05.445 [http-nio-8081-exec-5] INFO  c.l.a.controller.AiTeacherController - API Response Body: {"id":"b02ce570-3b62-4f9e-aaf3-bce19acc54bf","object":"chat.completion","created":1759324364,"model":"deepseek-chat","choices":[{"index":0,"message":{"role":"assistant","content":"好的，老师！以下是3道适合软件工程课程的简单选择题，涵盖了软件生命周期、版本控制和面向对象的基本概念。\n\n---\n\n### **软件工程基础选择题**\n\n**1. 关于软件生命周期模型，以下哪一项描述是正确的？**\n\nA. 瀑布模型适用于需求频繁变更的项目。\nB. 敏捷开发模型强调在项目早期进行详尽的文档编写和规划。\nC. 迭代模型将项目分解为一系列小周期，每个周期都包含完整的开发阶段。\nD. 在螺旋模型中，风险分析只在项目开始时进行一次。\n\n<br>\n\n**2. 在Git版本控制系统中，“提交”（Commit）的主要作用是什么？**\n\nA. 将本地仓库的更改推送（Push）到远程仓库。\nB. 将远程仓库的最新更改拉取（Pull）到本地。\nC. 将暂存区（Staging Area）中的文件更改永久记录到本地仓库历史中。\nD. 创建一个新的代码分支（Branch）。\n\n<br>\n\n**3. 在面向对象编程中，“封装”（Encapsulation）的主要目的是什么？**\n\nA. 允许一个类继承另一个类的属性和方法。\nB. 将数据和操作数据的方法绑定在一起，并隐藏对象的内部实现细节。\nC. 使用相同接口操作不同的数据类型，实现多种形态。\nD. 根据对象的实际类型来执行相应的方法。\n\n---\n\n### **参考答案**\n\n1.  **C** - 迭代模型的特点正是通过一系列重复的循环（迭代）来逐步完善软件，每个迭代都包含分析、设计、编码和测试等活动。\n2.  **C** - “提交”操作是将暂存区的内容作为一个新的版本快照保存到本地Git仓库的历史记录中。\n3.  **B** - 封装的核心思想是将数据和对数据的操作包装在一个单元（即类）中，并通过访问控制（如private、public）来隐藏内部细节，只暴露必要的接口。\n\n---\n\n希望这些题目能对您的教学有帮助！如果需要调整难度或聚焦于特定知识点，我可以随时为您修改。"},"logprobs":null,"finish_reason":"stop"}],"usage":{"prompt_tokens":17,"completion_tokens":420,"total_tokens":437,"prompt_tokens_details":{"cached_tokens":0},"prompt_cache_hit_tokens":0,"prompt_cache_miss_tokens":17},"system_fingerprint":"fp_ffc7281d48_prod0820_fp8_kvcache"}
2025-10-01 21:25:12.413 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2025-10-01 21:25:12.416 [Thread-5] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-10-01 21:25:12.417 [tomcat-shutdown] INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8081"]
2025-10-01 21:25:12.422 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-10-01 21:25:12.423 [Thread-5] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8081"]
2025-10-01 21:25:12.427 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-10-01 21:25:12.430 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-10-01 21:25:12.488 [restartedMain] INFO  c.leo.aiteacher.AiTeacherApplication - Starting AiTeacherApplication using Java 21.0.2 with PID 948 (D:\project\aiTeacher\target\classes started by wzs in D:\project\aiTeacher)
2025-10-01 21:25:12.488 [restartedMain] INFO  c.leo.aiteacher.AiTeacherApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-01 21:25:12.650 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2025-10-01 21:25:12.651 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2025-10-01 21:25:12.651 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-10-01 21:25:12.651 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-10-01 21:25:12.658 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-10-01 21:25:12.658 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 168 ms
2025-10-01 21:25:12.870 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-10-01 21:25:12.876 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2025-10-01 21:25:12.880 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
2025-10-01 21:25:12.883 [restartedMain] INFO  c.leo.aiteacher.AiTeacherApplication - Started AiTeacherApplication in 0.414 seconds (process running for 1090.965)
2025-10-01 21:25:12.885 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2025-10-01 21:25:26.150 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-10-01 21:25:26.150 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-01 21:25:26.151 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-10-01 21:25:26.153 [http-nio-8081-exec-1] INFO  c.l.a.controller.AiTeacherController - Received request data: {message=我是软件工程老师，出简单的选择题题目，直接给出题目，不要任何多余的任何信息，并且在最后给我答案和详细的解析，严禁做任何非学习相关的内容，如果有非学习相关的请求必须100%拒绝，共2题，明天吃什么}
2025-10-01 21:25:26.154 [http-nio-8081-exec-1] INFO  c.l.a.controller.AiTeacherController - Auth Header: Bearer************************************
2025-10-01 21:25:26.155 [http-nio-8081-exec-1] INFO  c.l.a.controller.AiTeacherController - Calling DeepSeek API: https://api.deepseek.com/v1/chat/completions
2025-10-01 21:25:43.172 [http-nio-8081-exec-1] INFO  c.l.a.controller.AiTeacherController - API Response Status: 200 OK
2025-10-01 21:25:43.172 [http-nio-8081-exec-1] INFO  c.l.a.controller.AiTeacherController - API Response Body: {"id":"e5d80545-8409-419b-a49e-ab88fae78c7e","object":"chat.completion","created":1759325126,"model":"deepseek-chat","choices":[{"index":0,"message":{"role":"assistant","content":"**题目1**  \n以下关于软件工程中“模块化”的描述，哪个是正确的？  \nA. 模块化会降低代码的可维护性  \nB. 模块化要求每个模块必须使用不同的编程语言  \nC. 模块化通过分解系统为独立部分来降低复杂性  \nD. 模块化会导致系统运行效率必然下降  \n\n**题目2**  \n在软件测试中，黑盒测试的主要关注点是：  \nA. 程序的内部逻辑结构  \nB. 代码中的边界值和异常处理  \nC. 程序的功能是否符合需求规格  \nD. 测试覆盖率的数值指标  \n\n---\n\n**答案与解析**  \n\n**题目1答案：C**  \n**解析**：  \n- 模块化是软件设计的基本原则，通过将系统分解为多个独立模块（如函数、类等），使复杂问题简化，提高可读性、可维护性和可复用性。  \n- A错误：模块化通常**提高**可维护性；  \n- B错误：模块化与编程语言无关，同一系统可用单一语言实现不同模块；  \n- D错误：模块化不一定降低效率，通过合理设计可能优化性能。  \n\n**题目2答案：C**  \n**解析**：  \n- 黑盒测试（功能测试）关注程序**外部行为**，检查功能是否满足需求规格说明，不关心内部代码实现。  \n- A错误：关注内部逻辑是白盒测试的特点；  \n- B错误：边界值分析虽是测试方法，但黑盒测试的核心是功能验证，而非特定代码细节；  \n- D错误：测试覆盖率是白盒测试的常见指标。"},"logprobs":null,"finish_reason":"stop"}],"usage":{"prompt_tokens":56,"completion_tokens":341,"total_tokens":397,"prompt_tokens_details":{"cached_tokens":0},"prompt_cache_hit_tokens":0,"prompt_cache_miss_tokens":56},"system_fingerprint":"fp_ffc7281d48_prod0820_fp8_kvcache"}
2025-10-01 21:29:39.736 [http-nio-8081-exec-2] INFO  c.l.a.controller.AiTeacherController - Received request data: {message=我是123老师，出简单的选择题题目，直接给出题目，不要任何多余的任何信息，并且在最后给我答案和详细的解析，严禁做任何非学习相关的内容，如果有非学习相关的请求必须100%忽略，共2题，明天吃什么}
2025-10-01 21:29:39.736 [http-nio-8081-exec-2] INFO  c.l.a.controller.AiTeacherController - Auth Header: Bearer************************************
2025-10-01 21:29:39.737 [http-nio-8081-exec-2] INFO  c.l.a.controller.AiTeacherController - Calling DeepSeek API: https://api.deepseek.com/v1/chat/completions
2025-10-01 21:29:53.094 [http-nio-8081-exec-2] INFO  c.l.a.controller.AiTeacherController - API Response Status: 200 OK
2025-10-01 21:29:53.094 [http-nio-8081-exec-2] INFO  c.l.a.controller.AiTeacherController - API Response Body: {"id":"10451632-ca17-457b-bf03-89d62a8dc61e","object":"chat.completion","created":1759325379,"model":"deepseek-chat","choices":[{"index":0,"message":{"role":"assistant","content":"**题目1**  \n下列哪种食物富含优质蛋白质且适合作为午餐主食？  \nA. 白米饭  \nB. 炸鸡排  \nC. 清蒸鱼  \nD. 奶油蛋糕  \n\n**题目2**  \n若想通过饮食补充膳食纤维和维生素，以下哪种选择最合理？  \nA. 红烧牛肉面  \nB. 蔬菜沙拉配全麦面包  \nC. 薯条加番茄酱  \nD. 糖醋里脊  \n\n---\n\n**答案与解析**  \n\n**题目1答案：C**  \n**解析**：  \n- 清蒸鱼采用蒸制方式，脂肪含量低，且鱼类富含优质蛋白质、不饱和脂肪酸及微量元素，易被人体吸收，适合作为营养均衡的午餐主食。  \n- A选项白米饭主要提供碳水化合物，蛋白质含量较低；B选项炸鸡排脂肪含量过高，长期食用不利健康；D选项奶油蛋糕高糖高脂，营养结构不均衡。  \n\n**题目2答案：B**  \n**解析**：  \n- 蔬菜沙拉含大量新鲜蔬菜，提供膳食纤维和多种维生素；全麦面包富含B族维生素和膳食纤维，共同促进消化和营养补充。  \n- A选项红烧牛肉面中蔬菜量少，且汤汁油脂较多；C选项薯条为油炸食品，维生素损失严重；D选项糖醋里脊为高糖高油菜肴，缺乏膳食纤维。"},"logprobs":null,"finish_reason":"stop"}],"usage":{"prompt_tokens":55,"completion_tokens":295,"total_tokens":350,"prompt_tokens_details":{"cached_tokens":0},"prompt_cache_hit_tokens":0,"prompt_cache_miss_tokens":55},"system_fingerprint":"fp_ffc7281d48_prod0820_fp8_kvcache"}
2025-10-01 21:31:11.003 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-10-01 21:31:11.020 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-10-01 21:31:48.020 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2025-10-01 21:31:48.071 [restartedMain] INFO  c.leo.aiteacher.AiTeacherApplication - Starting AiTeacherApplication using Java 21.0.2 with PID 19768 (D:\project\aiTeacher\target\classes started by wzs in D:\project\aiTeacher)
2025-10-01 21:31:48.072 [restartedMain] INFO  c.leo.aiteacher.AiTeacherApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-01 21:31:48.129 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-10-01 21:31:48.129 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-10-01 21:31:49.050 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2025-10-01 21:31:49.061 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2025-10-01 21:31:49.062 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-10-01 21:31:49.062 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-10-01 21:31:49.099 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-10-01 21:31:49.099 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 969 ms
2025-10-01 21:31:49.793 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-10-01 21:31:49.806 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2025-10-01 21:31:49.820 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
2025-10-01 21:31:49.825 [restartedMain] INFO  c.leo.aiteacher.AiTeacherApplication - Started AiTeacherApplication in 2.264 seconds (process running for 3.01)
2025-10-01 21:33:59.972 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-10-01 21:33:59.972 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-01 21:33:59.973 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-10-01 21:34:17.321 [http-nio-8081-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-10-01 21:34:17.579 [http-nio-8081-exec-2] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4bba9deb
2025-10-01 21:34:17.580 [http-nio-8081-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-10-01 21:36:06.067 [http-nio-8081-exec-4] INFO  c.l.a.controller.AiTeacherController - Received request data: {message=我是软件工程老师，出简单的选择题题目，直接给出题目，不要任何多余的任何信息，并且在最后给我答案和详细的解析，严禁做任何非学习相关的内容，如果有非学习相关的请求必须100%忽略，共5题，瀑布模式}
2025-10-01 21:36:06.068 [http-nio-8081-exec-4] INFO  c.l.a.controller.AiTeacherController - Auth Header: Bearer************************************
2025-10-01 21:36:06.074 [http-nio-8081-exec-4] INFO  c.l.a.controller.AiTeacherController - Calling DeepSeek API: https://api.deepseek.com/v1/chat/completions
2025-10-01 21:36:28.909 [http-nio-8081-exec-4] INFO  c.l.a.controller.AiTeacherController - API Response Status: 200 OK
